"gender","sport","n","test_type"
"Female","Skaters",6,"SLJ"
"Female","Skaters",6,"SLLAH"
"Male","Football",6,"SQT"
"Female","Gymnastics",5,"CMJ"
"Male","Weightlifters",5,"DJ"
"Female","Weightlifters",5,"LCMJ"
"Female","Football",5,"QSB"
"Female","Weightlifters",5,"SHLDISOI"
"Male","Table Tennis",5,"SHLDISOI"
"Female","Lawn Tennis",5,"SHLDISOT"
"Male","Skaters",5,"SJ"
"Female","Skaters",5,"SLHAR"
"Male","Skaters",5,"SLHAR"
"Female","Badminton",5,"SLHJ"
"Male","Badminton",5,"SLHJ"
"Male","Track and Field",5,"SLLAH"
"Female","Weightlifters",5,"SQT"
"Male","Squash",4,"CMJ"
"Male","Basketball",4,"DJ"
"Male","Cricket",4,"HJ"
"Male","Football",4,"LAH"
"Female","Weightlifters",4,"PUSHUPT"
"Male","Football",4,"QSB"
"Female","Swimming",4,"SHLDISOI"
"Male","Badminton",4,"SHLDISOI"
"Female","Weightlifters",4,"SHLDISOT"
"Male","Badminton",4,"SHLDISOT"
"Female","Swimming",4,"SHLDISOY"
"Female","Weightlifters",4,"SHLDISOY"
"Male","Basketball",4,"SJ"
"Male","Weightlifters",4,"SJ"
"Male","Basketball",4,"SLDJ"
"Male","Table Tennis",4,"SLHAR"
"Male","Basketball",4,"SLJ"
"Male","Skaters",4,"SLJ"
"Male","Weightlifters",4,"SLJ"
"Male","Basketball",4,"SLLAH"
"Male","Skaters",4,"SLLAH"
"Male","Table Tennis",4,"SLLAH"
"Female","Gymnastics",4,"SLSB"
"Female","Squash",3,"CMJ"
"Female","Gymnastics",3,"DJ"
"Female","Squash",3,"DJ"
"Female","Swimming",3,"DJ"
"Male","Squash",3,"DJ"
"Female","Lawn Tennis",3,"HJ"
"Female","Golf",3,"IMTP"
"Male","Squash",3,"IMTP"
"Male","Badminton",3,"LAH"
"Male","Skaters",3,"LAH"
"Male","Table Tennis",3,"PUSHUPT"
"Female","Football",3,"SHLDISOI"
"Male","Football",3,"SHLDISOI"
"Female","Golf",3,"SHLDISOT"
"Male","Table Tennis",3,"SHLDISOT"
"Male","Badminton",3,"SHLDISOY"
"Male","Football",3,"SHLDISOY"
"Male","Table Tennis",3,"SHLDISOY"
"Male","Squash",3,"SJ"
"Female","Squash",3,"SLDJ"
"Female","Track and Field",3,"SLDJ"
"Male","Skaters",3,"SLDJ"
"Male","Squash",3,"SLDJ"
"Male","Track and Field",3,"SLDJ"
"Male","Basketball",3,"SLHAR"
"Male","Squash",3,"SLHAR"
"Male","Squash",3,"SLJ"
"Male","Squash",3,"SLLAH"
"Female","Golf",2,"CMJ"
"Male","Combat Sports",2,"CMJ"
"Male","Golf",2,"CMJ"
"Male","Combat Sports",2,"DJ"
"Male","Basketball",2,"HJ"
"Male","Track and Field",2,"HJ"
"Male","Badminton",2,"IMTP"
"Male","Golf",2,"IMTP"
"Male","Table Tennis",2,"IMTP"
"Female","Football",2,"LAH"
"Female","Skaters",2,"LAH"
"Male","Table Tennis",2,"LAH"
"Female","Football",2,"LCMJ"
"Male","Badminton",2,"LCMJ"
"Male","Football",2,"LCMJ"
"Female","Badminton",2,"PUSHUPT"
"Female","Football",2,"PUSHUPT"
"Male","Basketball",2,"QSB"
"Female","Gymnastics",2,"SHLDISOI"
"Female","Badminton",2,"SHLDISOT"
"Female","Gymnastics",2,"SHLDISOT"
"Male","Football",2,"SHLDISOT"
"Male","Golf",2,"SHLDISOT"
"Male","Swimming",2,"SHLDISOT"
"Male","Weightlifters",2,"SHLDISOT"
"Female","Football",2,"SHLDISOY"
"Female","Gymnastics",2,"SHLDISOY"
"Female","Squash",2,"SJ"
"Male","Swimming",2,"SLDJ"
"Male","Table Tennis",2,"SLDJ"
"Female","Squash",2,"SLHAR"
"Female","Football",2,"SLHJ"
"Female","Lawn Tennis",2,"SLHJ"
"Male","Basketball",2,"SLHJ"
"Female","Gymnastics",2,"SLJ"
"Male","Table Tennis",2,"SLJ"
"Female","Squash",2,"SLLAH"
"Male","Weightlifters",2,"SLLAH"
"Female","Football",2,"SLSB"
"Female","Golf",2,"SLSB"
"Female","Skaters",2,"SLSB"
"Male","Golf",2,"SLSB"
"Male","Weightlifters",2,"SQT"
"Female","Cricket",1,"CMJ"
"Male","Lawn Tennis",1,"CMJ"
"Female","Cricket",1,"DJ"
"Male","Lawn Tennis",1,"DJ"
"Female","Badminton",1,"HJ"
"Male","Football",1,"HJ"
"Male","Skaters",1,"HJ"
"Male","Squash",1,"HJ"
"Female","Cricket",1,"IMTP"
"Female","Squash",1,"IMTP"
"Female","Track and Field",1,"IMTP"
"Male","Basketball",1,"IMTP"
"Male","Combat Sports",1,"IMTP"
"Female","Cricket",1,"LAH"
"Female","Lawn Tennis",1,"LAH"
"Male","Basketball",1,"LAH"
"Male","Weightlifters",1,"LCMJ"
"Male","Badminton",1,"PUSHUPT"
"Male","Cricket",1,"PUSHUPT"
"Male","Track and Field",1,"PUSHUPT"
"Male","Weightlifters",1,"PUSHUPT"
"Female","Skaters",1,"QSB"
"Female","Track and Field",1,"QSB"
"Female","Cricket",1,"SHLDISOI"
"Female","Golf",1,"SHLDISOI"
"Female","Squash",1,"SHLDISOI"
"Male","Squash",1,"SHLDISOI"
"Male","Weightlifters",1,"SHLDISOI"
"Female","Football",1,"SHLDISOT"
"Female","Cricket",1,"SHLDISOY"
"Female","Golf",1,"SHLDISOY"
"Female","Squash",1,"SHLDISOY"
"Male","Golf",1,"SHLDISOY"
"Male","Squash",1,"SHLDISOY"
"Male","Weightlifters",1,"SHLDISOY"
"Female","Cricket",1,"SJ"
"Female","Golf",1,"SJ"
"Female","Gymnastics",1,"SJ"
"Male","Combat Sports",1,"SJ"
"Female","Cricket",1,"SLDJ"
"Male","Weightlifters",1,"SLDJ"
"Female","Cricket",1,"SLHAR"
"Female","Gymnastics",1,"SLHAR"
"Male","Track and Field",1,"SLHAR"
"Male","Cricket",1,"SLHJ"
"Female","Cricket",1,"SLJ"
"Male","Combat Sports",1,"SLJ"
"Female","Cricket",1,"SLLAH"
"Female","Gymnastics",1,"SLLAH"
"Male","Combat Sports",1,"SLLAH"
"Male","Lawn Tennis",1,"SLLAH"
"Female","Badminton",1,"SLSB"
"Male","Badminton",1,"SLSB"
"Female","Lawn Tennis",1,"SQT"
"Female","Track and Field",1,"SQT"
"Male","Badminton",1,"SQT"
"Male","Cricket",1,"SQT"
