"sex","sport","test_type","metric","n","family","AIC","BIC","CRPS","CRPS_rel","Wasserstein1","W1_rel","KS_D","CvM_W2","AD_A2"
"Male","Track and Field","CMJ","Concentric.RPD...50ms_Both_CMJ",29,"NO",613.6,619.1,4754,0.2746,1940,0.1121,0.1065,0.0491,0.3262
"Male","Swimming","CMJ","Eccentric.Peak.Force_Both_CMJ",27,"BCCGo",334,340.5,58.87,0.3966,15.31,0.1032,0.1382,0.08426,0.5116
"Male","Swimming","CMJ","Eccentric.Deceleration.Mean.Force_Both_CMJ",27,"BCCGo",355.2,361.7,87.25,0.3436,18.16,0.07153,0.1102,0.04589,0.2826
"Male","Swimming","CMJ","Total.Work_Both_CMJ",27,"BCCGo",352.4,358.8,80.31,0.3089,24.35,0.09366,0.06557,0.02002,0.1886
"Male","Swimming","CMJ","Concentric.Impulse_Both_CMJ",27,"BCCGo",258.5,264.9,13.84,0.3214,3.698,0.08588,0.1149,0.05379,0.4372
"Male","Swimming","SLJ","Eccentric.Mean.Power_Left_SLJ",25,"BCCGo",282.1,288.2,31.65,0.2965,11.56,0.1083,0.08611,0.03535,0.3266
"Male","Swimming","SLJ","Eccentric.Deceleration.Impulse_Left_SLJ",25,"NO",200.8,205.7,6.308,0.2835,1.989,0.08939,0.1029,0.04403,0.347
"Male","Swimming","SLJ","Positive.Impulse_Left_SLJ",25,"BCCGo",264.9,271,24.21,0.2541,7.311,0.07672,0.0904,0.0223,0.1767
"Male","Swimming","SLJ","Total.Work_Left_SLJ",25,"BCCGo",298.7,304.8,60.95,0.3684,27.79,0.168,0.1246,0.05445,0.36
"Male","Badminton","DJ","Peak.Landing.Power_Both_DJ",25,"BCCGo",401.7,407.8,363.8,0.3316,82.97,0.07561,0.1004,0.02644,0.1915
"Male","Badminton","DJ","Jump.Height..FT..Relative.Peak.Landing.Force_Both_DJ",25,"BCCGo",257.3,263.4,21.66,0.2578,6.221,0.07405,0.115,0.03809,0.2367
"Male","Badminton","DJ","Passive.Stiffness_Both_DJ",25,"BCCGo",479.2,485.3,1948,0.5037,773.2,0.1999,0.1347,0.05298,0.3174
"Male","Badminton","DJ","Flight.Time_Both_DJ",25,"BCCGo",-63.2,-57.1,0.036,0.3224,0.008679,0.07773,0.1115,0.03247,0.2029
"Male","Cricket","SLLAH","Peak.Drop.Landing.Force_Right_SLLAH",25,"BCCGo",381.8,387.9,240.1,0.3314,72.13,0.09955,0.09791,0.02186,0.1816
"Male","Cricket","SLLAH","Peak.Drop.Landing.Force_Left_SLLAH",25,"BCCGo",379.1,385.2,233,0.3322,70.15,0.1,0.1304,0.06486,0.3576
"Male","Cricket","SLLAH","Drop.Landing_Left_SLLAH",25,"NO",333.1,338,95.94,0.4858,55.71,0.2821,0.156,0.1841,1.098
"Male","Cricket","SLLAH","Time.to.Stabilisation_Left_SLLAH",25,"BCCGo",-11.9,-5.8,0.09871,0.4703,0.0476,0.2268,0.1781,0.09719,0.4919
